datapoint averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
33 100 10 1.850044751 0.060077939 2.72665 -0.0305538 1.96956 2.60694 3.42113 3.25018 4.58004 -1.73574 4.93596 0.901013 -10.8924 -0.50857 0.478801 1.51978 -23.2743 10.6565 2.08181 -2.72785 4.754356 0.163811 0.0225253 -0.272311 3542.53
34 100 10 1.909915937 0.059871186 2.67469 -0.0519545 1.96998 2.60917 3.42113 3.25018 4.38257 -0.197474 4.93563 -4.79271 -5.69372 -0.867771 0.233655 -0.359202 -23.2743 10.6565 2.08181 -2.72785 4.914493 0.160137 -0.119818 -0.142343 3475.03
35 100 10 1.970263764 0.060347827 2.61382 -0.0608757 1.97036 2.61073 3.42113 3.25018 4.16546 -0.217102 4.93517 -12.4987 -7.70595 -1.00875 0.000272411 -0.140975 -23.2743 10.6565 2.08181 -2.72785 5.072231 0.157738 -0.312466 -0.192649 3395.93
36 100 10 2.03021015 0.059946386 2.58989 -0.0239255 1.97072 2.61194 3.42113 3.25018 4.03663 -0.128831 4.93464 -15.9691 -3.4704 -0.399116 -0.184683 0.609631 -23.2743 10.6565 2.08181 -2.72785 5.227486 0.155255 -0.399226 -0.0867599 3364.85
37 100 10 2.080430001 0.050219851 2.4975 -0.0923953 1.97103 2.61199 3.42113 3.25018 2.76374 -1.27289 4.93336 -13.3292 2.63985 -1.83982 -0.557093 -1.4407 -23.2743 10.6565 2.08181 -2.72785 5.35291 0.125424 -0.33323 0.0659962 3244.81
38 100 10 2.139544608 0.059114607 2.43735 -0.0601444 1.97131 2.61199 3.42113 3.25018 3.60396 0.840222 4.93258 -12.5552 0.77397 -1.01742 -0.790516 0.822396 -23.2743 10.6565 2.08181 -2.72785 5.496993 0.144083 -0.313881 0.0193492 3166.67
39 100 10 2.200100181 0.060555573 2.47065 0.0332999 1.9716 2.61233 3.42113 3.25018 3.44329 -0.160669 4.9317 -9.65073 2.90451 0.549907 -0.933937 1.56733 -23.2743 10.6565 2.08181 -2.72785 5.646605 0.149612 -0.241268 0.0726127 3209.93
40 100 10 2.259940326 0.059840145 2.4473 -0.0233531 1.97188 2.61243 3.42113 3.25018 3.31141 -0.131878 4.93074 -4.68721 4.96352 -0.390258 -0.788269 -0.940165 -23.2743 10.6565 2.08181 -2.72785 5.793052 0.146447 -0.11718 0.124088 3179.59
41 100 10 2.320167034 0.060226708 2.43735 -0.00994682 1.97216 2.61243 3.42113 3.25018 3.18156 -0.129852 4.92971 0.10216 4.78937 -0.165156 -0.767529 0.225102 -23.2743 10.6565 2.08181 -2.72785 5.939846 0.146794 0.00255401 0.119734 3166.67
42 100 10 2.379212104 0.05904507 2.43735 0 1.97243 2.61197 3.42113 3.25018 3.12052 -0.0610426 4.92865 5.69887 5.59671 0 -0.564695 0.165156 -23.2743 10.6565 2.08181 -2.72785 6.08376 0.143914 0.142472 0.139918 3166.67
43 100 10 2.430274806 0.051062702 2.43735 0 1.97271 2.61131 3.42113 3.25018 2.88209 -0.238426 4.92744 6.48097 0.782102 0 -0.513838 0 -23.2743 10.6565 2.08181 -2.72785 6.208218 0.124458 0.162024 0.0195525 3166.67
44 100 10 2.489244069 0.058969263 2.43735 0 1.97298 2.61131 3.42113 3.25018 2.17607 -0.706027 4.92582 3.90757 -2.5734 0 -0.427061 0 -23.2743 10.6565 2.08181 -2.72785 6.351947 0.143729 0.0976892 -0.0643351 3166.67
45 100 10 2.54001093 0.050766861 2.43735 0 1.97325 2.61063 3.42113 3.25018 1.84728 -0.328784 4.92401 -0.0333798 -3.94095 0 -0.326186 0 -23.2743 10.6565 2.08181 -2.72785 6.475684 0.123737 -0.000834495 -0.0985237 3166.67
46 100 10 2.59993418 0.05992325 2.43735 0 1.97352 2.61063 3.42113 3.25018 1.64615 -0.201137 4.92209 -8.38816 -8.35478 0 -0.286274 0 -23.2743 10.6565 2.08181 -2.72785 6.621738 0.146054 -0.209704 -0.208869 3166.67
47 100 10 2.659851766 0.059917586 2.43735 0 1.9738 2.61063 3.42113 3.25018 1.78064 0.13449 4.92024 -14.3934 -6.00525 0 -0.102293 0 -23.2743 10.6565 2.08181 -2.72785 6.767778 0.14604 -0.359835 -0.150131 3166.67
48 100 10 2.720468363 0.060616597 2.43735 0 1.97407 2.61063 3.42113 3.25018 2.33439 0.553754 4.91873 -19.3991 -5.00569 0 -0.00055076 0 -23.2743 10.6565 2.08181 -2.72785 6.915522 0.147744 -0.484977 -0.125142 3166.67
49 100 10 2.780080316 0.059611953 2.43735 0 1.97434 2.60988 3.42113 3.25018 1.97348 -0.360913 4.917 -26.1875 -6.78837 0 -0.0555414 0 -23.2743 10.6565 2.08181 -2.72785 7.060817 0.145295 -0.654687 -0.169709 3166.67
50 100 10 2.84105509 0.060974774 2.43735 0 1.97461 2.60912 3.42113 3.25018 1.92116 -0.0523212 4.91524 -29.7824 -3.59495 0 -0.0165156 0 -23.2743 10.6565 2.08181 -2.72785 7.209434 0.148617 -0.74456 -0.0898738 3166.67
51 100 10 2.900405634 0.059350544 2.47479 0.0374353 1.97491 2.60862 3.42113 3.25018 3.57411 1.65295 4.91446 3.27771 33.0601 0.630749 0.0630749 0.630749 -23.2743 10.6565 2.08181 -2.72785 7.356314 0.14688 0.0819428 0.826503 3215.3
52 100 10 2.960295156 0.059889522 2.46867 -0.00612044 1.97519 2.60794 3.42113 3.25018 4.70979 1.13568 4.91434 1.6223 -1.65542 -0.102196 0.0528553 -0.732945 -23.2743 10.6565 2.08181 -2.72785 7.504161 0.147847 0.0405574 -0.0413854 3207.35
