x averagetime averagesmooth time timedelta speed speeddelta speedaverage speedaveragetime speedmax speedmaxtime maxspeed maxspeeddelta maxspeedaverage angle angledelta acceleration accelerationsmooth accelerationdelta accelerationmin accelerationmax accelerationmintime accelerationmaxtime distance distancedelta turn turndelta rpm
33 100 10 1.902 0.062000000 4.60731 -0.30411 4.40701 4.31821 6.34186 6.34186 4.33765 -0.275848 6.31094 -9.90901 0.313556 -4.905 -0.325753 -4.49785 -5.16316 8.19672 8.19672 -5.16316 9.729028 0.285653 -0.247725 0.00783889 5985.92
34 100 10 1.96 0.058000000 4.43311 -0.174194 4.4076 4.32077 6.34186 6.34186 4.35181 0.0141664 6.26641 -10.2458 -0.336819 -3.00334 -0.135587 1.90166 -5.16316 8.19672 8.19672 -5.16316 9.986149 0.257121 -0.256146 -0.00842048 5759.61
35 100 10 2.02 0.060000000 4.50699 0.0738773 4.40981 4.32481 6.34186 6.34186 4.84086 0.48905 6.23473 -12.2438 -1.99798 1.23129 0.14057 4.23463 -5.16316 8.19672 8.19672 -5.16316 10.256568 0.270419 -0.306095 -0.0499496 5855.59
36 100 10 2.08 0.060000000 4.79952 0.29253 4.41828 4.33491 6.34186 6.34186 5.36146 0.520593 6.21575 -11.8912 0.352594 4.87549 0.192703 3.6442 -5.16316 8.19672 8.19672 -5.16316 10.544539 0.287971 -0.297281 0.00881484 6235.65
37 100 10 2.133 0.053000000 5.03463 0.235116 4.4314 4.34949 6.34186 6.34186 5.76317 0.401719 6.20612 -9.00892 2.8823 4.43614 0.192465 -0.439351 -5.16316 8.19672 8.19672 -5.16316 10.811375 0.266836 -0.225223 0.0720575 6541.12
38 100 10 2.191 0.058000000 5.28839 0.25376 4.44925 4.36865 6.34186 6.34186 7.75388 1.99071 6.23836 -7.45985 1.54907 4.37518 0.851741 -0.0609638 -5.16316 8.19672 8.19672 -5.16316 11.118102 0.306727 -0.186496 0.0387269 6870.81
39 100 10 2.251 0.060000000 5.55867 0.270279 4.47189 4.39245 6.34186 6.34186 8.80926 1.05538 6.29083 -6.04554 1.4143 4.50465 1.80102 0.129471 -5.16316 8.19672 8.19672 -5.16316 11.451622 0.33352 -0.151139 0.0353576 7221.96
40 100 10 2.31 0.059000000 5.81114 0.252461 4.49868 4.42027 6.34186 6.34186 8.13328 -0.675985 6.32768 -3.89087 2.15467 4.27901 1.98827 -0.225641 -5.16316 8.19672 8.19672 -5.16316 11.794479 0.342857 -0.0972718 0.0538668 7549.97
41 100 10 2.362 0.052000000 6.04217 0.231038 4.52894 4.45146 6.34186 6.34186 8.11001 -0.0232684 6.36263 -4.31088 -0.420004 4.44304 1.98293 0.164033 -5.16316 8.19672 8.19672 -5.16316 12.108672 0.314193 -0.107772 -0.0105001 7850.14
42 100 10 2.42 0.058000000 6.31245 0.270278 4.56324 4.48657 6.34186 6.34186 8.16773 0.0577193 6.39734 -3.60453 0.706347 4.65997 2.48964 0.216933 -5.16316 8.19672 8.19672 -5.16316 12.474794 0.366122 -0.0901133 0.0176587 8201.29
