Datapoint;Time;TimeDelta;Speed;SpeedDelta;SpeedAverage;Maxspeed;MaxspeedDelta;MaxspeedAverage;Angle;AngleDelta;Acceleration;AccelerationDelta;Distance;DistanceDelta
3763;190.50;0.05;4.81;-0.13;5.10;4.65;-0.07;4.85;0.00;-0.02;-2.79;1.77;959.31;0.23
3764;190.55;0.05;4.73;-0.08;5.10;4.64;-0.01;4.85;-0.04;-0.04;-1.57;1.22;959.55;0.24
3765;190.60;0.05;4.72;-0.01;5.10;4.58;-0.06;4.85;-0.07;-0.03;-0.25;1.33;959.78;0.23
3766;190.65;0.05;4.65;-0.07;5.10;4.17;-0.40;4.85;-0.09;-0.02;-1.47;-1.22;960.02;0.23
3767;190.70;0.05;4.37;-0.28;5.10;3.84;-0.34;4.85;-0.10;-0.01;-5.43;-3.96;960.24;0.22
3768;190.75;0.05;4.26;-0.11;5.10;3.88;0.04;4.85;-0.12;-0.03;-2.14;3.29;960.45;0.21
3769;190.80;0.05;4.05;-0.21;5.09;4.06;0.19;4.85;-0.14;-0.02;-4.25;-2.11;960.65;0.20
3770;190.85;0.05;4.15;0.10;5.09;4.30;0.24;4.85;-0.17;-0.03;1.96;6.22;960.86;0.21
3771;190.90;0.05;4.43;0.27;5.09;4.40;0.10;4.85;-0.17;0.00;5.26;3.30;961.09;0.23
3772;190.95;0.05;4.37;-0.05;5.09;4.06;-0.34;4.85;-0.14;0.03;-1.03;-6.29;961.31;0.22
3773;191.00;0.05;4.25;-0.12;5.09;3.91;-0.16;4.85;-0.13;0.02;-2.35;-1.31;961.53;0.22
3774;191.05;0.05;3.91;-0.34;5.09;3.68;-0.23;4.85;-0.13;-0.01;-7.17;-4.82;961.71;0.18
3775;191.10;0.05;3.83;-0.08;5.09;3.93;0.25;4.84;-0.15;-0.02;-1.69;5.48;961.90;0.19
3776;191.16;0.06;3.97;0.14;5.09;4.10;0.17;4.84;-0.17;-0.02;2.59;4.28;962.12;0.22
3777;191.20;0.05;4.19;0.22;5.09;4.36;0.26;4.84;-0.18;-0.00;4.53;1.94;962.32;0.20
3778;191.25;0.05;4.45;0.26;5.09;4.19;-0.17;4.84;-0.16;0.02;5.68;1.16;962.53;0.20
3779;191.30;0.05;4.17;-0.28;5.09;3.83;-0.36;4.84;-0.12;0.03;-5.11;-10.79;962.75;0.23
3780;191.35;0.05;3.94;-0.24;5.09;3.78;-0.05;4.84;-0.11;0.01;-4.90;0.21;962.94;0.19
3781;191.40;0.05;3.90;-0.04;5.09;4.03;0.25;4.84;-0.13;-0.02;-0.70;4.20;963.14;0.20
3782;191.45;0.05;4.20;0.30;5.09;4.19;0.17;4.84;-0.15;-0.02;6.21;6.91;963.34;0.20
3783;191.50;0.05;4.25;0.05;5.09;4.45;0.26;4.84;-0.18;-0.03;0.94;-5.27;963.57;0.23
3784;191.55;0.05;4.69;0.44;5.09;4.70;0.25;4.84;-0.24;-0.07;9.11;8.17;963.79;0.23
3785;191.60;0.05;4.75;0.07;5.09;3.83;-0.87;4.84;-0.19;0.06;1.37;-7.74;964.02;0.23
3786;191.65;0.05;4.42;-0.33;5.09;3.68;-0.15;4.84;-0.15;0.03;-6.56;-7.93;964.24;0.23
3787;191.70;0.05;4.38;-0.04;5.09;3.82;0.14;4.84;-0.16;-0.01;-0.82;5.74;964.47;0.22
3788;191.75;0.05;4.06;-0.31;5.09;4.08;0.26;4.84;-0.18;-0.02;-6.41;-5.59;964.67;0.20
3789;191.80;0.05;4.21;0.14;5.09;4.26;0.18;4.84;-0.20;-0.02;2.73;9.14;964.89;0.22
3790;191.85;0.05;4.37;0.16;5.09;4.57;0.31;4.84;-0.18;0.02;3.34;0.60;965.10;0.21
3791;191.90;0.05;4.58;0.21;5.09;4.74;0.17;4.84;-0.14;0.04;4.23;0.90;965.32;0.23
3792;191.95;0.05;4.78;0.20;5.09;5.01;0.27;4.84;-0.10;0.04;4.09;-0.14;965.56;0.24
3793;192.00;0.05;5.10;0.32;5.09;5.26;0.25;4.84;-0.05;0.05;6.31;2.22;965.82;0.25
3794;192.05;0.05;5.46;0.36;5.09;5.52;0.26;4.84;-0.01;0.04;6.76;0.45;966.11;0.29
3795;192.10;0.05;5.49;0.03;5.09;5.68;0.17;4.84;-0.02;-0.01;0.74;-6.01;966.37;0.26
3796;192.15;0.05;5.85;0.36;5.09;6.02;0.33;4.84;-0.03;-0.01;7.11;6.37;966.66;0.30
3797;192.20;0.05;6.02;0.17;5.09;6.27;0.25;4.84;0.00;0.04;3.39;-3.72;966.96;0.29
3798;192.25;0.05;6.31;0.29;5.09;6.53;0.26;4.84;0.00;0.00;5.82;2.44;967.28;0.32
3799;192.30;0.05;6.66;0.35;5.09;6.79;0.26;4.84;0.04;0.04;6.64;0.81;967.63;0.35
3800;192.35;0.05;6.87;0.20;5.09;6.97;0.18;4.84;0.02;-0.02;4.25;-2.39;967.96;0.33
3801;192.40;0.05;7.09;0.22;5.09;6.78;-0.18;4.85;0.03;0.01;4.40;0.15;968.31;0.35
3802;192.45;0.05;6.88;-0.21;5.09;6.45;-0.33;4.85;0.08;0.05;-4.22;-8.62;968.66;0.34
3803;192.50;0.05;6.56;-0.32;5.09;5.60;-0.86;4.85;0.05;-0.02;-6.49;-2.27;968.98;0.32
3804;192.55;0.05;6.48;-0.08;5.09;5.31;-0.29;4.85;0.02;-0.03;-1.42;5.07;969.32;0.34
3805;192.60;0.05;6.26;-0.22;5.09;5.22;-0.09;4.85;-0.01;-0.03;-4.67;-3.26;969.62;0.30
3806;192.65;0.05;6.06;-0.19;5.09;5.47;0.25;4.85;-0.02;-0.01;-3.81;0.86;969.93;0.31
3807;192.70;0.05;5.82;-0.24;5.09;5.73;0.27;4.85;0.02;0.05;-5.01;-1.20;970.21;0.28
3808;192.75;0.06;5.99;0.17;5.09;6.08;0.34;4.85;0.05;0.02;3.09;8.10;970.54;0.33
3809;192.80;0.05;6.18;0.19;5.09;6.27;0.19;4.85;0.05;0.00;3.88;0.79;970.84;0.30
3810;192.85;0.05;6.42;0.24;5.10;6.12;-0.15;4.85;0.02;-0.04;5.11;1.23;971.14;0.30
3811;192.90;0.05;6.24;-0.18;5.10;5.87;-0.25;4.85;-0.02;-0.04;-3.61;-8.72;971.45;0.31
3812;192.95;0.05;6.04;-0.20;5.10;6.00;0.13;4.85;-0.05;-0.03;-3.94;-0.34;971.75;0.30
3813;193.00;0.05;6.23;0.18;5.10;6.17;0.17;4.85;-0.03;0.02;3.66;7.61;972.06;0.31
3814;193.05;0.05;6.53;0.30;5.10;6.43;0.26;4.85;-0.02;0.01;5.62;1.95;972.42;0.35
3815;193.10;0.05;6.64;0.11;5.10;6.75;0.33;4.85;-0.00;0.02;2.46;-3.16;972.72;0.31
3816;193.15;0.05;6.95;0.31;5.10;7.01;0.26;4.85;-0.05;-0.05;5.67;3.21;973.10;0.38
3817;193.20;0.05;7.21;0.26;5.10;7.26;0.25;4.85;-0.05;0.00;5.64;-0.03;973.43;0.33
3818;193.26;0.06;7.31;0.10;5.10;7.51;0.25;4.85;-0.03;0.02;1.77;-3.87;973.84;0.41
3819;193.30;0.04;7.51;0.21;5.10;7.69;0.18;4.85;-0.02;0.01;4.63;2.86;974.18;0.34
3820;193.36;0.06;8.03;0.51;5.10;7.93;0.25;4.85;-0.01;0.01;9.32;4.69;974.62;0.44
3821;193.40;0.05;8.00;-0.03;5.10;8.27;0.33;4.85;0.00;0.01;-0.64;-9.96;974.98;0.36
3822;193.45;0.05;8.23;0.23;5.10;8.43;0.17;4.85;0.03;0.03;4.55;5.20;975.40;0.42
3823;193.50;0.05;8.53;0.30;5.10;8.70;0.26;4.86;0.04;0.01;5.74;1.19;975.85;0.45
3824;193.55;0.05;8.82;0.29;5.10;8.95;0.26;4.86;-0.02;-0.07;6.21;0.47;976.25;0.41
3825;193.60;0.05;9.00;0.18;5.10;9.19;0.24;4.86;-0.04;-0.02;3.75;-2.46;976.70;0.44
3826;193.65;0.05;9.22;0.21;5.11;9.45;0.26;4.86;-0.03;0.01;4.26;0.51;977.16;0.46
3827;193.70;0.05;9.36;0.14;5.11;9.70;0.24;4.86;0.00;0.03;2.80;-1.47;977.62;0.47
3828;193.75;0.05;9.64;0.28;5.11;9.87;0.18;4.86;0.03;0.03;5.25;2.46;978.15;0.52
3829;193.80;0.05;9.81;0.17;5.11;10.12;0.25;4.86;0.08;0.05;3.56;-1.70;978.62;0.47
3830;193.85;0.05;10.25;0.44;5.11;10.48;0.36;4.86;0.08;-0.00;9.18;5.63;979.11;0.49
3831;193.90;0.05;10.41;0.15;5.11;10.68;0.19;4.87;-0.00;-0.08;3.06;-6.12;979.63;0.52
3832;193.95;0.05;10.53;0.13;5.11;10.14;-0.54;4.87;-0.08;-0.08;2.40;-0.66;980.19;0.56
3833;194.00;0.05;10.39;-0.14;5.11;9.64;-0.50;4.87;-0.05;0.03;-3.05;-5.45;980.68;0.49
3834;194.05;0.05;10.13;-0.26;5.12;9.14;-0.50;4.87;-0.03;0.01;-5.04;-1.99;981.19;0.52
3835;194.10;0.05;9.79;-0.34;5.12;8.86;-0.28;4.87;-0.02;0.01;-6.86;-1.82;981.68;0.49
3836;194.15;0.05;9.71;-0.08;5.12;8.35;-0.51;4.87;-0.02;-0.00;-1.58;5.28;982.16;0.48
3837;194.20;0.05;9.38;-0.33;5.12;7.38;-0.97;4.87;-0.04;-0.02;-6.69;-5.11;982.63;0.47
3838;194.25;0.05;9.20;-0.17;5.12;6.66;-0.73;4.87;-0.05;-0.01;-3.26;3.43;983.11;0.49
3839;194.30;0.05;8.96;-0.24;5.12;6.43;-0.22;4.87;-0.03;0.02;-5.13;-1.87;983.54;0.42
3840;194.35;0.05;8.67;-0.29;5.12;5.97;-0.46;4.87;-0.04;-0.01;-5.67;-0.54;983.99;0.45
3841;194.40;0.05;8.45;-0.22;5.12;5.70;-0.27;4.87;-0.05;-0.01;-4.56;1.10;984.39;0.41
3842;194.46;0.06;8.22;-0.23;5.12;5.38;-0.32;4.87;-0.07;-0.02;-4.25;0.31;984.84;0.45
3843;194.50;0.05;7.94;-0.27;5.12;5.20;-0.18;4.87;-0.08;-0.01;-5.79;-1.54;985.22;0.37
3844;194.55;0.05;7.79;-0.16;5.13;5.07;-0.13;4.87;-0.11;-0.02;-3.15;2.64;985.61;0.39
3845;194.60;0.05;7.59;-0.19;5.13;4.50;-0.57;4.87;-0.14;-0.03;-3.96;-0.81;985.98;0.37
3846;194.65;0.05;7.27;-0.32;5.13;4.31;-0.19;4.87;-0.17;-0.03;-6.52;-2.56;986.33;0.36
3847;194.70;0.05;6.97;-0.30;5.13;4.42;0.11;4.87;-0.21;-0.04;-5.95;0.57;986.69;0.36
3848;194.75;0.05;6.72;-0.25;5.13;4.65;0.23;4.87;-0.25;-0.04;-5.13;0.82;987.02;0.33
3849;194.80;0.05;6.63;-0.09;5.13;4.05;-0.60;4.87;-0.26;-0.02;-1.73;3.40;987.35;0.33
3850;194.85;0.05;6.48;-0.15;5.13;3.74;-0.31;4.87;-0.29;-0.02;-2.97;-1.24;987.67;0.32
3851;194.90;0.05;6.03;-0.46;5.13;3.77;0.02;4.87;-0.32;-0.03;-9.12;-6.15;987.98;0.30
3852;194.95;0.05;5.73;-0.30;5.13;3.96;0.20;4.87;-0.36;-0.04;-6.01;3.11;988.26;0.29
3853;195.00;0.05;5.41;-0.32;5.13;4.30;0.33;4.87;-0.36;0.00;-6.41;-0.39;988.53;0.27
3854;195.06;0.06;5.48;0.08;5.13;4.51;0.21;4.87;-0.36;0.00;1.37;7.78;988.84;0.31
3855;195.10;0.04;5.18;-0.31;5.13;4.14;-0.37;4.87;-0.36;0.00;-6.81;-8.18;989.07;0.23
3856;195.16;0.05;4.97;-0.20;5.13;3.86;-0.28;4.87;-0.36;-0.01;-3.75;3.06;989.34;0.27
3857;195.20;0.04;4.65;-0.33;5.13;3.92;0.06;4.87;-0.36;0.00;-7.28;-3.52;989.55;0.21
3858;195.25;0.05;4.45;-0.19;5.13;4.16;0.24;4.87;-0.36;0.00;-3.98;3.30;989.76;0.21
3859;195.30;0.05;4.31;-0.14;5.13;4.42;0.26;4.87;-0.36;0.00;-2.84;1.14;989.98;0.22
3860;195.35;0.05;4.44;0.13;5.13;4.33;-0.09;4.87;-0.33;0.03;2.46;5.29;990.21;0.23
3861;195.40;0.05;4.38;-0.05;5.13;3.97;-0.36;4.87;-0.26;0.07;-1.07;-3.53;990.43;0.22
3862;195.45;0.05;3.93;-0.45;5.13;3.81;-0.17;4.87;-0.23;0.03;-8.75;-7.68;990.63;0.20
3863;195.50;0.05;3.80;-0.13;5.13;3.70;-0.10;4.87;-0.20;0.03;-2.75;6.00;990.82;0.19
3864;195.55;0.05;3.83;0.03;5.13;3.81;0.11;4.87;-0.18;0.02;0.68;3.43;991.01;0.19
3865;195.60;0.05;3.92;0.08;5.13;3.99;0.17;4.87;-0.17;0.01;1.56;0.87;991.22;0.21
3866;195.65;0.05;4.22;0.31;5.13;4.25;0.26;4.87;-0.14;0.03;6.64;5.09;991.41;0.19
3867;195.70;0.05;4.40;0.18;5.13;4.49;0.24;4.87;-0.11;0.03;3.45;-3.19;991.64;0.22
3868;195.75;0.05;4.61;0.21;5.13;4.74;0.26;4.87;-0.08;0.03;4.35;0.90;991.86;0.23
3869;195.80;0.05;4.89;0.28;5.13;4.93;0.18;4.87;-0.07;0.01;5.20;0.85;992.12;0.26
3870;195.85;0.05;5.03;0.14;5.13;5.25;0.32;4.87;-0.04;0.03;2.98;-2.22;992.36;0.24
3871;195.90;0.05;5.41;0.38;5.13;5.49;0.25;4.87;-0.07;-0.03;7.53;4.55;992.64;0.28
3872;195.95;0.05;5.52;0.11;5.13;5.66;0.17;4.87;-0.08;-0.01;2.16;-5.37;992.92;0.28
3873;196.00;0.05;5.76;0.24;5.13;5.94;0.28;4.87;-0.07;0.01;4.96;2.80;993.19;0.28
3874;196.05;0.05;6.02;0.26;5.13;6.17;0.23;4.87;-0.04;0.02;5.13;0.17;993.50;0.31
3875;196.10;0.05;6.30;0.28;5.13;6.41;0.24;4.87;-0.01;0.04;5.55;0.42;993.82;0.31
3876;196.15;0.05;6.52;0.22;5.13;6.67;0.25;4.87;-0.00;0.01;4.38;-1.17;994.15;0.33
3877;196.20;0.05;6.76;0.23;5.13;6.92;0.25;4.87;0.04;0.04;4.84;0.47;994.47;0.32
3878;196.25;0.05;6.98;0.22;5.13;7.17;0.25;4.87;0.06;0.02;4.43;-0.42;994.82;0.35
3879;196.30;0.05;7.19;0.22;5.13;7.42;0.26;4.87;-0.02;-0.08;4.22;-0.21;995.19;0.37
3880;196.35;0.05;7.39;0.20;5.13;7.67;0.25;4.87;-0.07;-0.05;3.99;-0.23;995.55;0.36
3881;196.40;0.05;7.69;0.30;5.13;7.84;0.17;4.87;-0.03;0.05;5.61;1.62;995.97;0.42
3882;196.46;0.05;7.78;0.09;5.13;7.51;-0.33;4.88;0.00;0.03;1.68;-3.93;996.36;0.40
3883;196.50;0.04;7.65;-0.13;5.13;7.28;-0.23;4.88;-0.01;-0.01;-2.82;-4.50;996.71;0.34
3884;196.55;0.05;7.39;-0.26;5.13;6.90;-0.38;4.88;-0.02;-0.02;-5.03;-2.20;997.08;0.38
3885;196.60;0.05;7.27;-0.12;5.13;6.52;-0.38;4.88;-0.03;-0.00;-2.37;2.65;997.45;0.37
3886;196.66;0.06;7.12;-0.15;5.13;6.08;-0.43;4.88;-0.04;-0.01;-2.64;-0.27;997.85;0.40
3887;196.70;0.04;6.68;-0.44;5.13;5.55;-0.53;4.88;-0.05;-0.01;-10.54;-7.90;998.13;0.28
3888;196.75;0.05;6.39;-0.29;5.13;5.08;-0.47;4.88;-0.04;0.00;-5.78;4.76;998.45;0.32
3889;196.80;0.05;6.21;-0.18;5.13;4.74;-0.34;4.88;-0.05;-0.01;-3.55;2.23;998.78;0.32
3890;196.85;0.05;6.03;-0.18;5.13;4.49;-0.25;4.88;-0.06;-0.01;-3.71;-0.16;999.07;0.29
3891;196.90;0.05;5.79;-0.24;5.13;4.25;-0.24;4.88;-0.06;-0.00;-4.72;-1.02;999.36;0.30
3892;196.95;0.05;5.53;-0.26;5.13;4.09;-0.15;4.88;-0.07;-0.01;-5.26;-0.54;999.64;0.28
3893;197.00;0.05;5.31;-0.21;5.13;4.09;0.00;4.88;-0.09;-0.02;-4.02;1.24;999.92;0.28
3894;197.05;0.05;5.06;-0.26;5.13;4.13;0.04;4.88;-0.11;-0.01;-5.55;-1.53;1000.15;0.23
3895;197.10;0.05;4.76;-0.29;5.13;4.22;0.09;4.88;-0.11;-0.00;-5.76;-0.20;1000.39;0.24
3896;197.15;0.05;4.63;-0.13;5.13;4.33;0.11;4.88;-0.11;-0.00;-2.66;3.10;1000.62;0.23
3897;197.20;0.05;4.46;-0.17;5.13;4.43;0.10;4.88;-0.13;-0.01;-3.42;-0.76;1000.85;0.23
3898;197.25;0.05;4.60;0.14;5.13;4.49;0.06;4.88;-0.14;-0.01;2.76;6.18;1001.08;0.23
3899;197.30;0.05;4.62;0.02;5.13;3.18;-1.30;4.88;-0.28;-0.15;0.39;-2.37;1001.32;0.24
3900;197.35;0.05;4.34;-0.27;5.13;3.24;0.06;4.88;-0.30;-0.02;-5.97;-6.36;1001.52;0.20
3901;197.40;0.05;4.27;-0.08;5.13;3.51;0.28;4.87;-0.37;-0.07;-1.53;4.44;1001.74;0.21
3902;197.45;0.05;3.94;-0.33;5.13;3.83;0.32;4.87;-0.43;-0.06;-6.33;-4.81;1001.94;0.20
3903;197.50;0.05;3.94;0.00;5.13;4.00;0.17;4.87;-0.43;-0.00;0.02;6.36;1002.14;0.20
3904;197.55;0.05;4.21;0.27;5.13;4.25;0.25;4.87;-0.41;0.02;5.48;5.46;1002.35;0.21
3905;197.60;0.05;4.41;0.19;5.13;4.49;0.24;4.87;-0.35;0.06;3.96;-1.52;1002.57;0.22
3906;197.65;0.05;4.68;0.27;5.13;4.75;0.26;4.87;-0.29;0.06;5.67;1.71;1002.79;0.22
3907;197.70;0.05;4.83;0.15;5.13;4.46;-0.29;4.87;-0.20;0.09;2.93;-2.74;1003.04;0.25
3908;197.75;0.05;4.54;-0.29;5.13;4.10;-0.36;4.87;-0.12;0.08;-5.68;-8.62;1003.27;0.23
3909;197.80;0.05;4.33;-0.21;5.13;3.95;-0.15;4.87;-0.06;0.05;-4.35;1.33;1003.48;0.21
3910;197.85;0.05;4.16;-0.17;5.13;3.89;-0.06;4.87;-0.06;-0.00;-3.39;0.96;1003.69;0.21
3911;197.90;0.05;4.00;-0.17;5.13;3.89;-0.00;4.87;-0.08;-0.02;-3.32;0.07;1003.89;0.20
3912;197.95;0.05;4.16;0.16;5.13;4.10;0.22;4.87;-0.10;-0.02;3.25;6.57;1004.09;0.21
3913;198.00;0.05;4.14;-0.02;5.13;4.27;0.17;4.87;-0.13;-0.03;-0.30;-3.55;1004.31;0.21
3914;198.05;0.05;4.35;0.20;5.13;4.51;0.24;4.87;-0.18;-0.05;3.81;4.11;1004.54;0.23
3915;198.10;0.05;4.63;0.28;5.13;4.53;0.02;4.87;-0.25;-0.07;5.79;1.98;1004.76;0.23
3916;198.16;0.06;4.55;-0.08;5.13;3.08;-1.45;4.87;-0.26;-0.01;-1.36;-7.16;1005.02;0.26
3917;198.20;0.04;4.35;-0.21;5.13;3.16;0.08;4.87;-0.42;-0.16;-5.02;-3.65;1005.20;0.18
3918;198.25;0.05;4.09;-0.25;5.13;3.43;0.27;4.87;-0.39;0.03;-4.87;0.15;1005.41;0.21
3919;198.30;0.04;4.07;-0.02;5.13;3.67;0.24;4.87;-0.38;0.00;-0.47;4.40;1005.59;0.18
3920;198.35;0.05;3.87;-0.20;5.13;4.00;0.33;4.87;-0.37;0.01;-3.76;-3.29;1005.80;0.21
3921;198.40;0.05;4.22;0.35;5.13;4.17;0.17;4.87;-0.35;0.02;6.86;10.62;1006.02;0.22
3922;198.45;0.05;4.38;0.16;5.13;4.43;0.26;4.87;-0.26;0.08;3.30;-3.56;1006.23;0.21
3923;198.51;0.06;4.68;0.30;5.13;4.67;0.25;4.87;-0.16;0.10;5.36;2.05;1006.49;0.26
3924;198.55;0.04;5.01;0.33;5.13;4.93;0.25;4.87;-0.08;0.08;7.57;2.22;1006.71;0.22
3925;198.60;0.05;4.99;-0.02;5.13;5.18;0.26;4.87;-0.03;0.05;-0.31;-7.88;1006.96;0.25
3926;198.65;0.05;5.34;0.34;5.13;5.44;0.26;4.87;0.00;0.03;6.82;7.13;1007.23;0.27
3927;198.70;0.05;5.44;0.10;5.13;5.61;0.17;4.87;-0.01;-0.01;1.98;-4.83;1007.50;0.28
3928;198.75;0.05;5.78;0.34;5.13;5.85;0.24;4.87;-0.02;-0.01;6.83;4.84;1007.79;0.29
3929;198.80;0.05;5.95;0.18;5.13;6.10;0.25;4.87;-0.02;-0.00;3.60;-3.22;1008.08;0.29
3930;198.85;0.05;6.23;0.28;5.13;6.35;0.25;4.87;0.02;0.04;5.55;1.94;1008.40;0.31
3931;198.90;0.05;6.51;0.28;5.13;6.60;0.25;4.87;0.06;0.04;5.60;0.05;1008.72;0.33
3932;198.95;0.05;6.68;0.17;5.13;6.94;0.33;4.87;-0.02;-0.08;3.25;-2.35;1009.06;0.34
3933;199.00;0.05;6.92;0.24;5.13;7.10;0.17;4.87;-0.05;-0.03;4.92;1.68;1009.40;0.34
3934;199.05;0.05;7.22;0.30;5.13;7.36;0.26;4.87;0.00;0.05;5.93;1.00;1009.76;0.36
3935;199.10;0.05;7.45;0.23;5.13;7.38;0.01;4.87;0.04;0.04;4.60;-1.33;1010.13;0.37
3936;199.15;0.05;7.42;-0.02;5.13;7.04;-0.34;4.88;0.06;0.02;-0.45;-5.05;1010.52;0.39
3937;199.20;0.05;7.23;-0.19;5.13;6.82;-0.22;4.88;0.03;-0.03;-3.86;-3.41;1010.88;0.36
3938;199.25;0.05;6.91;-0.32;5.13;6.38;-0.44;4.88;0.00;-0.03;-6.57;-2.71;1011.21;0.33
3939;199.30;0.05;6.71;-0.20;5.13;6.19;-0.19;4.88;-0.00;-0.00;-3.96;2.61;1011.55;0.34
3940;199.35;0.05;6.49;-0.22;5.13;5.78;-0.41;4.88;-0.01;-0.01;-4.42;-0.46;1011.88;0.32
3941;199.40;0.05;6.17;-0.32;5.13;5.40;-0.38;4.88;-0.01;-0.00;-6.59;-2.18;1012.18;0.30
3942;199.45;0.05;6.00;-0.17;5.13;5.02;-0.39;4.88;-0.00;0.01;-3.39;3.20;1012.48;0.30
3943;199.50;0.05;5.77;-0.23;5.13;4.69;-0.33;4.88;-0.00;-0.00;-4.57;-1.18;1012.77;0.29
3944;199.55;0.05;5.48;-0.29;5.13;4.28;-0.41;4.88;-0.01;-0.00;-5.80;-1.23;1013.04;0.27
3945;199.60;0.05;5.31;-0.17;5.13;4.01;-0.27;4.88;-0.02;-0.02;-3.24;2.56;1013.32;0.27
3946;199.65;0.05;4.99;-0.32;5.13;3.71;-0.31;4.88;-0.04;-0.02;-6.58;-3.34;1013.56;0.24
3947;199.70;0.05;4.73;-0.26;5.13;3.58;-0.13;4.88;-0.03;0.01;-4.84;1.74;1013.82;0.26
3948;199.75;0.05;4.64;-0.09;5.13;3.51;-0.07;4.88;-0.05;-0.01;-1.82;3.02;1014.04;0.22
3949;199.80;0.05;4.31;-0.33;5.13;3.38;-0.13;4.88;-0.06;-0.01;-6.95;-5.13;1014.24;0.21
3950;199.85;0.05;4.11;-0.20;5.13;3.25;-0.13;4.87;-0.07;-0.02;-4.00;2.95;1014.45;0.21
3951;199.90;0.05;3.82;-0.29;5.13;3.17;-0.08;4.87;-0.10;-0.02;-5.71;-1.71;1014.65;0.19
3952;199.95;0.05;3.57;-0.25;5.13;3.11;-0.07;4.87;-0.13;-0.03;-5.14;0.57;1014.82;0.17
3953;200.00;0.05;3.40;-0.17;5.13;3.08;-0.03;4.87;-0.14;-0.01;-3.10;2.04;1015.00;0.18
3954;200.05;0.05;3.19;-0.21;5.13;3.08;0.00;4.87;-0.17;-0.03;-4.54;-1.44;1015.15;0.15
3955;200.10;0.05;3.13;-0.05;5.13;3.08;0.00;4.87;-0.22;-0.05;-1.05;3.49;1015.31;0.16
3956;200.15;0.05;3.10;-0.04;5.13;3.08;0.00;4.87;-0.32;-0.10;-0.75;0.29;1015.46;0.15
3957;200.20;0.05;3.10;0.00;5.13;3.10;0.02;4.87;-0.37;-0.05;0.04;0.79;1015.62;0.16
3958;200.25;0.05;3.21;0.11;5.13;3.08;-0.02;4.87;-0.44;-0.07;2.11;2.07;1015.78;0.16
3959;200.30;0.05;3.18;-0.02;5.13;3.08;0.00;4.87;-0.43;0.00;-0.46;-2.57;1015.94;0.16
3960;200.35;0.05;3.30;0.11;5.13;3.08;0.00;4.87;-0.41;0.02;2.24;2.70;1016.10;0.17
3961;200.40;0.05;3.26;-0.04;5.13;3.08;0.00;4.87;-0.38;0.03;-0.80;-3.03;1016.26;0.16
3962;200.45;0.05;3.02;-0.24;5.13;3.16;0.08;4.87;-0.58;-0.20;-4.66;-3.87;1016.42;0.15
3963;200.50;0.05;3.37;0.35;5.13;3.28;0.12;4.87;-0.61;-0.03;7.04;11.71;1016.58;0.16
3964;200.55;0.05;3.20;-0.17;5.13;3.08;-0.20;4.87;-0.67;-0.06;-3.18;-10.22;1016.75;0.17
3965;200.61;0.06;3.19;-0.01;5.13;3.08;0.00;4.87;-0.77;-0.10;-0.21;2.96;1016.92;0.18
3966;200.65;0.04;3.24;0.05;5.13;3.08;0.00;4.87;-0.85;-0.08;1.20;1.41;1017.07;0.14
3967;200.70;0.05;3.36;0.12;5.13;3.08;0.00;4.87;-0.91;-0.06;2.51;1.31;1017.23;0.16
3968;200.75;0.05;2.95;-0.42;5.13;3.08;0.00;4.87;-0.95;-0.03;-8.33;-10.84;1017.38;0.15
3969;200.80;0.05;3.32;0.38;5.12;3.08;0.00;4.87;-0.95;0.00;7.21;15.55;1017.55;0.17
3970;200.85;0.05;2.88;-0.44;5.12;3.08;0.00;4.87;-0.93;0.01;-9.22;-16.44;1017.69;0.14
3971;200.90;0.05;3.32;0.44;5.12;3.08;0.00;4.87;-0.89;0.04;8.61;17.83;1017.86;0.17
3972;200.95;0.05;3.15;-0.17;5.12;3.08;0.00;4.86;-0.81;0.08;-3.46;-12.07;1018.02;0.16
3973;201.00;0.05;2.93;-0.22;5.12;3.08;0.00;4.86;-0.70;0.10;-4.50;-1.03;1018.16;0.14
3974;201.05;0.05;3.21;0.29;5.12;3.08;0.00;4.86;-0.60;0.11;5.75;10.25;1018.32;0.16
3975;201.10;0.05;3.13;-0.09;5.12;3.08;0.00;4.86;-0.50;0.10;-1.71;-7.46;1018.48;0.16
3976;201.15;0.05;3.12;-0.00;5.12;3.08;0.00;4.86;-0.42;0.08;-0.07;1.64;1018.64;0.16
3977;201.20;0.05;3.14;0.01;5.12;3.08;0.00;4.86;-0.36;0.06;0.27;0.34;1018.79;0.15
3978;201.25;0.05;3.35;0.21;5.12;3.16;0.08;4.86;-0.36;-0.00;4.08;3.81;1018.96;0.17
3979;201.30;0.05;3.08;-0.26;5.12;3.08;-0.08;4.86;-0.39;-0.03;-5.28;-9.36;1019.12;0.15
3980;201.37;0.07;3.15;0.06;5.12;3.08;0.00;4.86;-0.46;-0.07;0.94;6.22;1019.32;0.21
3981;201.40;0.03;3.02;-0.13;5.12;3.08;0.00;4.86;-0.52;-0.06;-3.72;-4.66;1019.43;0.10
3982;201.45;0.05;3.18;0.16;5.12;3.08;0.00;4.86;-0.46;0.06;2.97;6.69;1019.59;0.17
3983;201.50;0.05;3.08;-0.09;5.12;3.08;0.00;4.86;-0.59;-0.13;-1.94;-4.91;1019.75;0.15
